Question, Answer
"How do the Lunar Laser Ranging Experiment, radar astronomy, and the Deep Space Network determine distances to the Moon, planets, and spacecraft?",They measure round-trip transit times.
"What are amorphous ferromagnetic metallic alloys, and what are their advantages?","Amorphous ferromagnetic metallic alloys are non-crystalline alloys that can be made by rapidly cooling a liquid alloy. Their properties are nearly isotropic, resulting in low coercivity, low hysteresis loss, high permeability, and high electrical resistivity."
What are some models that attempt to account for all observations without invoking supplemental non-baryonic matter?,"Modified Newtonian dynamics, tensor–vector–scalar gravity, or entropic gravity."
What are the Navier-Stokes equations?,"The Navier-Stokes equations are partial differential equations that describe the motion of viscous fluid substances, expressing momentum balance and conservation of mass for Newtonian fluids."
What are the two main interpretations for the disparity between the presence of matter and antimatter in the observable universe?,"The universe began with a small preference for matter, or it was originally perfectly symmetric, but a set of phenomena contributed to a small imbalance in favor of matter over time."
What did Fresnel predict and verify with regards to total internal reflections?,"Fresnel predicted and verified that four total internal reflections at 68°27' would give a precise circular polarization if two of the reflections had water as the external medium while the other two had air, but not if the reflecting surfaces were all wet or all dry."
What did Newton adopt after his correspondence with Hooke in 1679-1680?,The language of inward or centripetal force.
What did Newton's manuscripts of the 1660s show?,Newton combined tangential motion with the effects of radially directed force or endeavour and expressed the concept of linear inertia.
What does Earnshaw's theorem state?,A collection of point charges cannot be maintained in a stable stationary equilibrium configuration solely by the electrostatic interaction of the charges.
What is a Hilbert space in quantum mechanics?,A complex vector space where the state of a quantum mechanical system is described by a vector |Ψ⟩.
What is a light-year?,A unit of length used to express astronomical distances that is equivalent to the distance that an object moving at the speed of light in vacuum would travel in one Julian year: approximately 9.46 trillion kilometres (9.46×1012 km) or 5.88 trillion miles (5.88×1012 mi).
What is a planetary system?,Any set of gravitationally bound non-stellar objects in or out of orbit around a star or star system.
What is a pycnometer?,A device used to determine the density of a liquid.
What is a regular polytope?,A regular polytope is a geometric shape whose symmetry group is transitive on its flags.
What is a Schwarzschild black hole?,"A black hole that has mass but neither electric charge nor angular momentum, and is spherically symmetric, according to Birkhoff's theorem."
What is bollard pull primarily used for measuring?,The strength of tugboats
What is classical mechanics?,"Classical mechanics is the branch of physics that describes the motion of macroscopic objects using concepts such as mass, acceleration, and force. It is based on a three-dimensional Euclidean space with fixed axes, and utilises many equations and mathematical concepts to relate physical quantities to one another."
What is Hesse's principle of transfer in geometry?,"Hesse's principle of transfer is a concept in geometry that states that if the points of the projective line P1 are depicted by a rational normal curve in Pn, then the group of the projective transformations of Pn that preserve the curve is isomorphic to the group of the projective transformations of P1."
What is indirect photophoresis?,"Indirect photophoresis is a phenomenon that occurs when particles absorb incident light only on the irradiated side, creating a temperature gradient within the particle, and causing a migration of particles in a direction opposite to the surface temperature gradient."
What is Martin Heidegger's view on the relationship between time and human existence?,"Martin Heidegger believes that humans do not exist inside time, but that they are time. The relationship to the past is a present awareness of having been, and the relationship to the future involves anticipating a potential possibility, task, or engagement."
What is Minkowski space?,Minkowski space is a mathematical model that combines inertial space and time manifolds with a non-inertial reference frame of space and time into a four-dimensional model relating a position to the field.
What is one of the examples of the models proposed by cosmologists and theoretical physicists without the cosmological or Copernican principles that can be used to address specific issues in the Lambda-CDM model and distinguish between current models and other possible models?,"Inhomogeneous cosmology, which models the universe as an extremely large, low-density void, instead of using the concept of dark energy. According to the model, this theory can match the observed accelerating universe and cosmological constant, but it contradicts the Copernican principle."
What is radiosity in radiometry?,"Radiosity is the radiant flux leaving a surface per unit area, including emitted, reflected, and transmitted radiation."
What is reciprocal length or inverse length?,"Reciprocal length or inverse length is a quantity or measurement used in several branches of science and mathematics. It is the reciprocal of length, and common units used for this measurement include the reciprocal metre or inverse metre (symbol: m−1), the reciprocal centimetre or inverse centimetre (symbol: cm−1)."
What is resistivity?,Resistivity is an intrinsic property of a material that describes how difficult it is to make electrical current flow through it. It is measured in ohm-meters and is independent of the material's shape and size.
What is spontaneous symmetry breaking?,"Spontaneous symmetry breaking occurs when the action of a theory has a symmetry, but the vacuum state violates this symmetry. In that case, there will exist a local operator that is non-invariant under the symmetry, giving it a nonzero vacuum expectation value."
What is the 'reactive Leidenfrost effect' observed in non-volatile materials?,"The 'reactive Leidenfrost effect' is a phenomenon where solid particles float above hot surfaces and move erratically, observed in non-volatile materials."
"What is the ""ultraviolet catastrophe""?",It is the misbehavior of a formula for higher frequencies.
What is the application of Memristor?,"Memristor has applications in programmable logic signal processing, Super-resolution imaging, physical neural networks, control systems, reconfigurable computing, in-memory computing, brain–computer interfaces and RFID."
What is the butterfly effect?,The butterfly effect is a phenomenon that highlights the difference between the application of the notion of causality in physics and a more general use of causality as represented by Mackie's INUS conditions.
What is the Carnot engine?,The Carnot engine is an ideal heat engine that operates in the limiting mode of extreme slowness known as quasi-static. It represents the theoretical maximum efficiency of a heat engine operating between any two given thermal or heat reservoirs at different temperatures.
What is the decay energy for the free neutron decay process?,0.782343 MeV
What is the definition of Atomristor?,Atomristor is defined as the electrical devices showing memristive behavior in atomically thin nanomaterials or atomic sheets.
What is the difference between probability mass function (PMF) and probability density function (PDF)?,"PMF is used for discrete random variables, while PDF is used for continuous random variables."
What is the effect generated by a spinning superconductor?,"A magnetic field, precisely aligned with the spin axis."
"What is the estimated redshift of CEERS-93316, a candidate high-redshift galaxy observed by the James Webb Space Telescope?","Approximately z = 16.7, corresponding to 235.8 million years after the Big Bang."
What is the evidence for the existence of a supermassive black hole at the center of the Milky Way galaxy?,"The star S2 follows an elliptical orbit with a period of 15.2 years and a pericenter of 17 light-hours from the center of the central object. From the motion of star S2, the object's mass can be estimated as 4.0 million M☉, or about 7.96×1036 kg. The radius of the central object must be less than 17 light-hours, because otherwise S2 would collide with it. Observations of the star S14 indicate that the radius is no more than 6.25 light-hours, about the diameter of Uranus' orbit. No known astronomical object other than a black hole can contain 4.0 million M☉ in this volume of space."
What is the formalism that angular momentum is associated with in rotational invariance?,Angular momentum is the 2-form Noether charge associated with rotational invariance.
What is the function of the fibrous cardiac skeleton?,"The fibrous cardiac skeleton provides structure to the heart, forming the atrioventricular septum that separates the atria from the ventricles, and the fibrous rings that serve as bases for the four heart valves."
What is the gravitomagnetic interaction?,"The gravitomagnetic interaction is a new force of nature generated by rotating matter, whose intensity is proportional to the rate of spin, according to the general theory of relativity."
What is the identity operation in symmetry groups?,The identity operation leaves the molecule unchanged and forms the identity element in the symmetry group.
What is the information loss paradox in black holes?,"Black holes have only a few internal parameters, so most of the information about the matter that went into forming the black hole is lost. Regardless of the type of matter which goes into a black hole, it appears that only information concerning the total mass, charge, and angular momentum are conserved. As black holes evaporate by emitting Hawking radiation, the information is lost forever."
What is the interpretation of supersymmetry in stochastic supersymmetric theory?,"Supersymmetry is an intrinsic property of all stochastic differential equations, and it preserves continuity in the model's phase space via continuous time flows."
